occurrenceID,measurementID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementMethod,measurementUnit,measurementUnitID
Hakai_phyto_QU39_2016-03-22_0m_21,Hakai_phyto_QU39_2016-03-22_0m_21_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,240,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-22_0m_22,Hakai_phyto_QU39_2016-03-22_0m_22_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,2188,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-22_0m_23,Hakai_phyto_QU39_2016-03-22_0m_23_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,2760,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-22_0m_24,Hakai_phyto_QU39_2016-03-22_0m_24_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,9120,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-22_0m_25,Hakai_phyto_QU39_2016-03-22_0m_25_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,2188,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-22_0m_26,Hakai_phyto_QU39_2016-03-22_0m_26_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,2548,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-22_0m_27,Hakai_phyto_QU39_2016-03-22_0m_27_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,40,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-22_0m_28,Hakai_phyto_QU39_2016-03-22_0m_28_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,40,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-22_0m_29,Hakai_phyto_QU39_2016-03-22_0m_29_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,59076,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-22_0m_30,Hakai_phyto_QU39_2016-03-22_0m_30_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,2188,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-22_0m_31,Hakai_phyto_QU39_2016-03-22_0m_31_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,220988,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-22_0m_32,Hakai_phyto_QU39_2016-03-22_0m_32_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,40,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-22_0m_33,Hakai_phyto_QU39_2016-03-22_0m_33_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,120,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-22_0m_34,Hakai_phyto_QU39_2016-03-22_0m_34_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,2188,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-22_0m_35,Hakai_phyto_QU39_2016-03-22_0m_35_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,2188,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-22_0m_36,Hakai_phyto_QU39_2016-03-22_0m_36_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,40,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-22_0m_37,Hakai_phyto_QU39_2016-03-22_0m_37_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,40,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-22_0m_38,Hakai_phyto_QU39_2016-03-22_0m_38_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,160,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-22_0m_39,Hakai_phyto_QU39_2016-03-22_0m_39_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,120,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-22_0m_40,Hakai_phyto_QU39_2016-03-22_0m_40_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,13128,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-22_0m_41,Hakai_phyto_QU39_2016-03-22_0m_41_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,560,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-22_0m_42,Hakai_phyto_QU39_2016-03-22_0m_42_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,520,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-29_0m_1,Hakai_phyto_QU39_2016-03-29_0m_1_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,216,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-29_0m_2,Hakai_phyto_QU39_2016-03-29_0m_2_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,13426,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-29_0m_3,Hakai_phyto_QU39_2016-03-29_0m_3_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,2012,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-29_0m_4,Hakai_phyto_QU39_2016-03-29_0m_4_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,54,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2016-03-29_0m_5,Hakai_phyto_QU39_2016-03-29_0m_5_1,Abundance,http://vocab.nerc.ac.uk/collection/P01/current/SDBIOL01/,162,NA,http://vocab.nerc.ac.uk/collection/S04/current/S0423/,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
