occurrenceID,measurementID,measurementType,measurementTypeID,measurementValue,measurementValueID,measurementUnit,measurementUnitID
Hakai_phyto_QU39_2020-02-05_5m_1,Hakai_phyto_QU39_2020-02-05_5m_1_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,40,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2020-02-05_5m_2,Hakai_phyto_QU39_2020-02-05_5m_2_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,40,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2020-02-05_5m_3,Hakai_phyto_QU39_2020-02-05_5m_3_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,400,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2020-02-05_5m_4,Hakai_phyto_QU39_2020-02-05_5m_4_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,80,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2020-02-05_5m_5,Hakai_phyto_QU39_2020-02-05_5m_5_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,80,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2020-02-05_5m_6,Hakai_phyto_QU39_2020-02-05_5m_6_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,40,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2020-02-05_5m_7,Hakai_phyto_QU39_2020-02-05_5m_7_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,40,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2020-02-05_5m_8,Hakai_phyto_QU39_2020-02-05_5m_8_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,120,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2020-02-05_5m_9,Hakai_phyto_QU39_2020-02-05_5m_9_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,160,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2020-02-05_5m_10,Hakai_phyto_QU39_2020-02-05_5m_10_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,280,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2020-02-05_5m_11,Hakai_phyto_QU39_2020-02-05_5m_11_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,1750,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2020-02-05_5m_12,Hakai_phyto_QU39_2020-02-05_5m_12_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,3500,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2020-02-05_5m_13,Hakai_phyto_QU39_2020-02-05_5m_13_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,33250,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2020-02-05_5m_14,Hakai_phyto_QU39_2020-02-05_5m_14_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,1750,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2020-02-05_5m_15,Hakai_phyto_QU39_2020-02-05_5m_15_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,3500,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2020-02-05_5m_16,Hakai_phyto_QU39_2020-02-05_5m_16_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,240,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2020-02-05_5m_17,Hakai_phyto_QU39_2020-02-05_5m_17_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,138250,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2020-02-05_5m_18,Hakai_phyto_QU39_2020-02-05_5m_18_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,1750,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
Hakai_phyto_QU39_2020-02-05_5m_19,Hakai_phyto_QU39_2020-02-05_5m_19_1,Abundance of phytoplankton,http://vocab.nerc.ac.uk/collection/P01/current/PU00M00Z/,29750,NA,Number per litre,http://vocab.nerc.ac.uk/collection/P06/current/UCPL/
