species,,,,QPHY1452,QPHY1453,QPHY1457,QPHY1458,QPHY1459,QPHY1460,QPHY1461,QPHY1463,QPHY1464,QPHY1465,QPHY1467,QPHY1468,QPHY1469,QPHY1470,QPHY1472,QPHY1473,QPHY1474,QPHY1476,QPHY1477,QPHY1478,QPHY1479,QPHY1481,QPHY1482,QPHY1484,QPHY1486,QPHY1488,QPHY1487,QPHY1489,QPHY1490,QPHY1491,QPHY1492,QPHY1493
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciliophora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elongate form,,,,,,,,,,296,,40,280,,222,,,,,48,,,178,,,432,,111,120,,,,,,
Myronecta rubra,,,,560,1160,880,240,1200,640,370,333,600,800,444,666,,288,979,622,864,2553,,178,520,801,912,200,111,560,540,144,444,144,600,
Oligotricious forms (medium),,,,640,400,1320,920,1080,800,2442,666,400,1040,888,1776,576,576,1780,2488,5040,8436,1866,4005,3160,4361,3552,2400,333,2520,5076,4608,2664,1296,800,933
Oligotricious forms (large),,,,,,,80,80,,,,40,,,111,,,89,,240,666,,89,,,48,,,40,,,222,,,
Oligotricious forms (small),,,,640,800,1800,1580,2800,2120,4440,777,1880,1680,999,999,5834,432,1602,622,4416,8547,,1335,3480,11544,5994,3800,1221,4360,1404,16848,4107,7200,1000,1244
Tintinnid forms,,,,,,,40,,80,74,,,,,111,,,,,48,222,933,267,,267,48,600,,,,,,144,200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hillea sp.,,,,73500,99144,143500,175020,101088,64750,137099,52506,152736,154601,17496,4118,61257,8751,11665,38500,6364,595000,78750,11667,1711072,411250,336000,63640,109380,373344,428750,411250,245000,542500,93336,74375
Teleaulax acuta,,,,12250,17496,28000,20419,5832,12250,35004,37921,15910,40838,,2059,,,2333,,9546,,,,,26250,,,25522,23334,8750,17500,10000,52500,3889,8750
Teleaulax amphioxiae,,,,,,,,,1750,11668,,,5834,,,,,,,,,,,,,,3182,3646,7778,,8750,,,31112,
Teleaulax spp.,,,,29750,48600,143500,93344,40824,26250,61257,61257,216376,72925,7776,14413,23336,8751,2333,10500,38184,752500,26250,,272216,288750,189000,15910,80212,155560,21875,638750,240000,875000,58335,100625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyanobacteria ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dictyochophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ciliophrys infusionum,,,,,,,,40,,,,,,,,,,,,480,444,,,,,,6364,,,54,,,144,,
Dictyocha fibula,,,,,,,,,,,,40,,,,,,,,,,,,,,,,,40,,,,144,,311
Dictyocha octonaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dictyocha speculum,,,,80,,120,40,80,200,222,222,80,120,555,1221,144,288,267,,48,5883,622,178,280,801,240,200,222,1280,,144,111,144,,311
Dictyocha spore forms,,,,,,120,,,,,,,80,111,,,,,,144,,,,,178,,,111,,324,,111,144,,
Meringosphaerae mediterranea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meringosphaerae spp,,,,,,,,,,,,,,,,,8751,2333,,3182,,,,,,,,,,,,,,,
Meringosphaerae tenerrima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinoflagellata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexandrium catenella,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amylax triacantha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceratium divericatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceratium lineatum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceratium furca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceratium fusus,,,,,,,,,,,,,,,,,,,,,111,,178,,,48,,222,40,,,,,,
Ceratium horridum,,,,,,,,,,,,,,,,,,,,,111,,,40,,,,,,,,,,,
Ceratium spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ceratium symmetricum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Corythodinium spp,,,,,,,,,,,,,,,,,,,,,,,,,,240,400,,,,,,,,
Dinophysis acuminata,,,,,,40,,,40,,,,,,,,,89,,,111,311,534,,356,48,400,,40,54,,111,,,
Dinophysis acuta,,,,,,,,,,,,,,,,,144,,,,,,,,89,,,,,,,,,,
Dinophysis fortii,,,,,,,,,,,,,,,111,,,,,,,,178,,,,200,,,,,,,,
Dinophysis rotundata,,,,,,,,,,,,,,,,,,,,,,,89,,,,200,,,,,,,,
Dinophysis sp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gonyaulax spp.,,,,,,,,,,,111,,,,,,,178,,,,933,,,,,,,,,,111,144,,
Gymnodinium spp.,,,,40,160,160,400,280,120,444,333,80,40,,333,288,576,3649,,1584,1221,311,801,80,801,240,800,1776,,1350,1296,777,1584,1200,1244
Gyrodinium spp.,,,,160,240,160,320,760,280,888,888,80,160,222,222,288,720,623,311,2208,2442,311,712,,89,144,400,666,200,648,720,444,144,400,311
Katodinium glaucum,,,,,,,,,,,,,,,,,,267,,,,,,,89,48,,,120,162,,,,,
Katodinium spp.,,,,,,,,,1750,,,,2917,1944,2059,5834,11668,9332,7000,15910,140000,8750,31112,19444,,7000,12728,222,3889,486,8750,5000,52500,3776,622
Noctiluca scintillans,,,,,,,,,,,,,,,,,,178,,96,,,,,,,,,,,,,,,
Oxyphysis oxytoxoides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,
Prorocentrum gracilis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432,,
Prorocentrum micans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,,
Prorocentrum spp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protoperidinium conicum,,,,,,,,,,,,,,,111,,,,,,111,,267,40,,,,,,,,,,,
Protoperidinium depressun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Protoperidinium leonis,,,,,,,,,,,,,,,,,288,,,,,,,,,,,,,,,,,,
Protoperidinium oblongum,,,,,,,,,,,,,,,,,,,,,,,178,,,,,,,,,,,,
Protoperidinium spp.,,,,,,,,,,,,,,111,,144,288,445,311,,111,,178,,,,400,,,,,,,,
Protoperidinium steinii,,,,,,,,40,,,111,,,,,,288,534,,,111,,,,89,,,111,120,,,,144,,
Pyrocystis lunula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resting stages,,,,,40,,,40,40,74,666,,,111,,,144,,,1488,222,311,178,,178,,200,111,40,,,,144,400,
Scrippsiella precarea,,,,,,,,,40,,,,,,,,,89,,720,35000,1866,3889,,,,200,40106,,108,432,,,,
Scrippsiella trochoidea,,,,,40,,,,,,,,,,,,,178,,144,1110,,,,,384,400,,,,720,,,,311
Unknown species,,,,40,,,,40,40,222,222,,80,222,222,,432,356,,240,444,622,623,40,,,800,444,320,270,432,222,144,200,
Unknown very small species (dino??),,,,,3888,,8751,1944,1750,11668,17502,3182,5834,3888,,5834,2917,13998,7000,35002,70000,13125,27223,,,21000,25456,7292,,,26250,5000,17500,23334,4375
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ebriidea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ebria tripartita,,,,,160,,,520,240,518,888,1800,600,111,111,,144,,311,48,333,622,89,200,1157,10730,4200,666,320,54,576,,1152,,1244
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Euglenophyta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eutriptiella hirudoidea,,,,,,,,,,,,,40,,,,,,,,222,,,,,,,,,,,,,,
Unknown species,,,,1750,1944,3500,5834,3888,320,5834,2917,9546,160,,4118,,5834,4666,,15910,,,,40,17500,,200,,,,,,,,4375
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kinetoplastidea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cafeteria minutae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metromonas simplex,,,,,,,,,,,,,,,,5834,,,,,,,3889,,,,,,,,,,35000,,4375
Phyllomitus yorkeensis,,,,,,,,,,,,,,,,,,,,,,4375,3889,,,,,,,,,,,,
Pleurostomum gracile,,,,,,,,,,,,,,,,,,,,,,,3889,,,,3182,,,,,,,,
Pseudobodo tremulans,,,,,,,,,,,,,,,,,,,,,,,3889,,,,,,,,,,,,
Telonema subtilis,,,,,,,,,,,,3182,,,2059,14585,,,,,,8750,,,8750,,3182,,,4375,,,17500,,4375
Unknown species,,,,,,,,,,,5834,,,,,,,,,,,4375,,,61250,7000,,,,,8750,,,15556,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
